group_by	group_level	n_cells	feature_id	feature_name	target_class	assay	feature	mean_CLR	mean_ADT_CLR	mean_HTO_CLR	status	message
Adult_cHSPCs_Ultima_majority_voting	MEBEMP-L	1898	FADT0041	mAOC-CD80	gene	ADT	mAOC-CD80	0.015184866743222	0.015184866743222	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	MKP	565	FADT0041	mAOC-CD80	gene	ADT	mAOC-CD80	0.0342280085797826	0.0342280085797826	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	Monocyte	195	FADT0041	mAOC-CD80	gene	ADT	mAOC-CD80	0.0745930984839727	0.0745930984839727	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	NK/T	116	FADT0041	mAOC-CD80	gene	ADT	mAOC-CD80	0.167587218062953	0.167587218062953	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	B	652	FADT0042	mAOC-CD21	gene	ADT	mAOC-CD21	3.52003778013939	3.52003778013939	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	CLP	506	FADT0042	mAOC-CD21	gene	ADT	mAOC-CD21	0.654783634146385	0.654783634146385	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	ERYP	440	FADT0042	mAOC-CD21	gene	ADT	mAOC-CD21	0.0194132647337176	0.0194132647337176	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	GMP-L	663	FADT0042	mAOC-CD21	gene	ADT	mAOC-CD21	0.219289466153151	0.219289466153151	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	HSC_MPP	8254	FADT0042	mAOC-CD21	gene	ADT	mAOC-CD21	0.0761822246161354	0.0761822246161354	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	MEBEMP-L	1898	FADT0042	mAOC-CD21	gene	ADT	mAOC-CD21	0.0182559794062787	0.0182559794062787	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	MKP	565	FADT0042	mAOC-CD21	gene	ADT	mAOC-CD21	0.034374942904986	0.034374942904986	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	Monocyte	195	FADT0042	mAOC-CD21	gene	ADT	mAOC-CD21	0.217156119964452	0.217156119964452	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	NK/T	116	FADT0042	mAOC-CD21	gene	ADT	mAOC-CD21	1.80368756331458	1.80368756331458	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	B	652	FADT0043	mAOC-CD19	gene	ADT	mAOC-CD19	0.00159659603790393	0.00159659603790393	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	CLP	506	FADT0043	mAOC-CD19	gene	ADT	mAOC-CD19	0	0	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	ERYP	440	FADT0043	mAOC-CD19	gene	ADT	mAOC-CD19	0	0	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	GMP-L	663	FADT0043	mAOC-CD19	gene	ADT	mAOC-CD19	1.71341994563443e-05	1.71341994563443e-05	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	HSC_MPP	8254	FADT0043	mAOC-CD19	gene	ADT	mAOC-CD19	2.95518946990315e-05	2.95518946990315e-05	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	MEBEMP-L	1898	FADT0043	mAOC-CD19	gene	ADT	mAOC-CD19	5.69655885027469e-05	5.69655885027469e-05	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	MKP	565	FADT0043	mAOC-CD19	gene	ADT	mAOC-CD19	0	0	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	Monocyte	195	FADT0043	mAOC-CD19	gene	ADT	mAOC-CD19	0.00266927876735108	0.00266927876735108	NA	ok	
