group_by	group_level	n_cells	feature_id	feature_name	target_class	validation_assay	validation_feature	mean_ADT_CLR	status	message	mean_RNA_lognormalized
Adult_cHSPCs_Ultima_majority_voting	ERYP	440	FADT0166	mAOC-CD1d	gene	RNA	CD1D	0.0230124702737063	ok		0
Adult_cHSPCs_Ultima_majority_voting	GMP-L	663	FADT0166	mAOC-CD1d	gene	RNA	CD1D	0.0422393019186813	ok		0.00183150382218386
Adult_cHSPCs_Ultima_majority_voting	HSC_MPP	8254	FADT0166	mAOC-CD1d	gene	RNA	CD1D	0.040541302072385	ok		0.000261632755041957
Adult_cHSPCs_Ultima_majority_voting	MEBEMP-L	1898	FADT0166	mAOC-CD1d	gene	RNA	CD1D	0.0237370129807142	ok		0
Adult_cHSPCs_Ultima_majority_voting	MKP	565	FADT0166	mAOC-CD1d	gene	RNA	CD1D	0.0498284200564141	ok		0.00170653271487835
Adult_cHSPCs_Ultima_majority_voting	Monocyte	195	FADT0166	mAOC-CD1d	gene	RNA	CD1D	0.128261686551632	ok		0.0156802055815629
Adult_cHSPCs_Ultima_majority_voting	NK/T	116	FADT0166	mAOC-CD1d	gene	RNA	CD1D	0.377846610329887	ok		0
Adult_cHSPCs_Ultima_majority_voting	B	652	FADT0167	mAOC-CD22	gene	RNA	CD22	3.03392432329295	ok		0.643726503704199
Adult_cHSPCs_Ultima_majority_voting	CLP	506	FADT0167	mAOC-CD22	gene	RNA	CD22	1.22903368148732	ok		0.0727799509679015
Adult_cHSPCs_Ultima_majority_voting	ERYP	440	FADT0167	mAOC-CD22	gene	RNA	CD22	0.0294527316884023	ok		0.0019248115666391
Adult_cHSPCs_Ultima_majority_voting	GMP-L	663	FADT0167	mAOC-CD22	gene	RNA	CD22	0.104939875812475	ok		0.00471305450972363
Adult_cHSPCs_Ultima_majority_voting	HSC_MPP	8254	FADT0167	mAOC-CD22	gene	RNA	CD22	0.113882296140018	ok		0.0252542845682787
Adult_cHSPCs_Ultima_majority_voting	MEBEMP-L	1898	FADT0167	mAOC-CD22	gene	RNA	CD22	0.0200390833064656	ok		0.00207646837532983
Adult_cHSPCs_Ultima_majority_voting	MKP	565	FADT0167	mAOC-CD22	gene	RNA	CD22	0.0537289012696247	ok		0.00757441355549436
Adult_cHSPCs_Ultima_majority_voting	Monocyte	195	FADT0167	mAOC-CD22	gene	RNA	CD22	0.240964962718188	ok		0.0686969858216695
Adult_cHSPCs_Ultima_majority_voting	NK/T	116	FADT0167	mAOC-CD22	gene	RNA	CD22	1.07729233799779	ok		0.203359685137447
Adult_cHSPCs_Ultima_majority_voting	B	652	FADT0170	Tag-ALFA	gene	RNA	Tag-ALFA	0.0747924121492042	missing_validation_feature	Feature not found in RNA: Tag-ALFA	NA
Adult_cHSPCs_Ultima_majority_voting	CLP	506	FADT0170	Tag-ALFA	gene	RNA	Tag-ALFA	0.029318374607635	missing_validation_feature	Feature not found in RNA: Tag-ALFA	NA
Adult_cHSPCs_Ultima_majority_voting	ERYP	440	FADT0170	Tag-ALFA	gene	RNA	Tag-ALFA	0.0174713011118076	missing_validation_feature	Feature not found in RNA: Tag-ALFA	NA
Adult_cHSPCs_Ultima_majority_voting	GMP-L	663	FADT0170	Tag-ALFA	gene	RNA	Tag-ALFA	0.0253621577406186	missing_validation_feature	Feature not found in RNA: Tag-ALFA	NA
Adult_cHSPCs_Ultima_majority_voting	HSC_MPP	8254	FADT0170	Tag-ALFA	gene	RNA	Tag-ALFA	0.0276826738369097	missing_validation_feature	Feature not found in RNA: Tag-ALFA	NA
Adult_cHSPCs_Ultima_majority_voting	MEBEMP-L	1898	FADT0170	Tag-ALFA	gene	RNA	Tag-ALFA	0.0219207556714184	missing_validation_feature	Feature not found in RNA: Tag-ALFA	NA
Adult_cHSPCs_Ultima_majority_voting	MKP	565	FADT0170	Tag-ALFA	gene	RNA	Tag-ALFA	0.0946378808076809	missing_validation_feature	Feature not found in RNA: Tag-ALFA	NA
Adult_cHSPCs_Ultima_majority_voting	Monocyte	195	FADT0170	Tag-ALFA	gene	RNA	Tag-ALFA	0.0737547674348454	missing_validation_feature	Feature not found in RNA: Tag-ALFA	NA
Adult_cHSPCs_Ultima_majority_voting	NK/T	116	FADT0170	Tag-ALFA	gene	RNA	Tag-ALFA	0.272398355336194	missing_validation_feature	Feature not found in RNA: Tag-ALFA	NA
Adult_cHSPCs_Ultima_majority_voting	B	652	FADT0175	mAOC-CD340	gene	RNA	ERBB2	0.0129300845733347	ok		0.00362584061391658
Adult_cHSPCs_Ultima_majority_voting	CLP	506	FADT0175	mAOC-CD340	gene	RNA	ERBB2	0.00590961189817672	ok		0.0121424344381397
Adult_cHSPCs_Ultima_majority_voting	ERYP	440	FADT0175	mAOC-CD340	gene	RNA	ERBB2	0.00182901781485014	ok		0.00487043036946873
Adult_cHSPCs_Ultima_majority_voting	GMP-L	663	FADT0175	mAOC-CD340	gene	RNA	ERBB2	0.00801648286781345	ok		0.0049598993769773
Adult_cHSPCs_Ultima_majority_voting	HSC_MPP	8254	FADT0175	mAOC-CD340	gene	RNA	ERBB2	0.00768036933054442	ok		0.00622396568005546
Adult_cHSPCs_Ultima_majority_voting	MEBEMP-L	1898	FADT0175	mAOC-CD340	gene	RNA	ERBB2	0.00686233446256308	ok		0.00301185645466703
Adult_cHSPCs_Ultima_majority_voting	MKP	565	FADT0175	mAOC-CD340	gene	RNA	ERBB2	0.0227667097709513	ok		0.00750183807343755
Adult_cHSPCs_Ultima_majority_voting	Monocyte	195	FADT0175	mAOC-CD340	gene	RNA	ERBB2	0.0388598173045672	ok		0
Adult_cHSPCs_Ultima_majority_voting	NK/T	116	FADT0175	mAOC-CD340	gene	RNA	ERBB2	0.0674054451469735	ok		0
Adult_cHSPCs_Ultima_majority_voting	B	652	FADT0180	mAOC-CD86	gene	RNA	CD86	0.207997504532432	ok		0.0850999261289485
Adult_cHSPCs_Ultima_majority_voting	CLP	506	FADT0180	mAOC-CD86	gene	RNA	CD86	0.554090263807187	ok		0.107812134019235
Adult_cHSPCs_Ultima_majority_voting	ERYP	440	FADT0180	mAOC-CD86	gene	RNA	CD86	0.0139549782609013	ok		0.00121221068707166
Adult_cHSPCs_Ultima_majority_voting	GMP-L	663	FADT0180	mAOC-CD86	gene	RNA	CD86	0.16087237070487	ok		0.00508171660812703
Adult_cHSPCs_Ultima_majority_voting	HSC_MPP	8254	FADT0180	mAOC-CD86	gene	RNA	CD86	0.0400422460564594	ok		0.00381666617183577
Adult_cHSPCs_Ultima_majority_voting	MEBEMP-L	1898	FADT0180	mAOC-CD86	gene	RNA	CD86	0.0199489909185034	ok		0.00046980821095124
Adult_cHSPCs_Ultima_majority_voting	MKP	565	FADT0180	mAOC-CD86	gene	RNA	CD86	0.0535576748075614	ok		0.0141139289657249
Adult_cHSPCs_Ultima_majority_voting	Monocyte	195	FADT0180	mAOC-CD86	gene	RNA	CD86	2.11194659398435	ok		0.186651717082552
Adult_cHSPCs_Ultima_majority_voting	NK/T	116	FADT0180	mAOC-CD86	gene	RNA	CD86	0.35846786812459	ok		0
Adult_cHSPCs_Ultima_majority_voting	B	652	FADT0186	mAOC-CD223	gene	RNA	LAG3	0.0280812224397322	ok		0
Adult_cHSPCs_Ultima_majority_voting	CLP	506	FADT0186	mAOC-CD223	gene	RNA	LAG3	0.0991207333796769	ok		0.00112347626456217
Adult_cHSPCs_Ultima_majority_voting	ERYP	440	FADT0186	mAOC-CD223	gene	RNA	LAG3	0.00499659861721308	ok		0
Adult_cHSPCs_Ultima_majority_voting	GMP-L	663	FADT0186	mAOC-CD223	gene	RNA	LAG3	0.0255693191037238	ok		0.00208542966579355
Adult_cHSPCs_Ultima_majority_voting	HSC_MPP	8254	FADT0186	mAOC-CD223	gene	RNA	LAG3	0.0731787748181636	ok		0.00473647085982036
Adult_cHSPCs_Ultima_majority_voting	MEBEMP-L	1898	FADT0186	mAOC-CD223	gene	RNA	LAG3	0.0142799523106347	ok		0.000838049946478984
Adult_cHSPCs_Ultima_majority_voting	MKP	565	FADT0186	mAOC-CD223	gene	RNA	LAG3	0.0424251410610729	ok		0.00208914337960001
