feature_id	feature_name	target_class	assay	group_by	expected_positive_groups	prior_method	prior_confidence	observed_adt_positive_groups	observed_validation_high_groups	adt_validation_overlap_groups	expected_adt_overlap_groups	expected_validation_overlap_groups	step5_needs_manual_review	step5_review_reason	target_status	n_cells	n_nonzero_raw	zero_rate	nonzero_rate	mean_clr	median_clr	sd_clr	min_clr	q05_clr	q25_clr	q75_clr	q95_clr	max_clr	dynamic_range_clr	raw_mean_umi	raw_median_umi	raw_total_umi	selected_threshold_clr	selected_threshold_method	positive_rate	positive_n_cells	negative_n_cells	target_n_cells	non_target_n_cells	target_positive_rate	non_target_positive_rate	snr_raw	tnr_raw	target_dropout_pct	positive_cv_raw	distribution_status	gmm_quality_status	gmm_quality_message	adt_signal_class	adt_signal_reason	message
FADT0166	mAOC-CD1d	gene	ADT	Adult_cHSPCs_Ultima_majority_voting		local_marker_prior:no_vote	0.95	B;Monocyte;NK/T	CLP;GMP-L;Monocyte	Monocyte			FALSE		no_target_groups	13289	830	93.754233	6.245767	0.046395	0	0.21256	0	0	0	0	0.468742	4.998876	0.468742	0.381519	0	5070	0.779868	noise_3sd	2.024231	269	13020	0	13289	NA	NA	221.263941	NA	NA	46.820646	ok	rare_positive	Positive rate is below pass threshold.	no_target_detected_signal	No expected target groups, but thresholded ADT signal is detected.	; No expected_positive_groups available for TNR.
FADT0167	mAOC-CD22	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	B	local_marker_prior	0.95	B;CLP;NK/T	B;CLP;NK/T	B;CLP;NK/T	B	B	FALSE		ok	13289	2523	81.014373	18.985627	0.290682	0	0.772552	0	0	0	0	2.268151	4.957029	2.268151	2.580029	0	34286	0.986623	noise_3sd	9.744902	1295	11994	652	12637	98.773006	5.151539	106.54758	56.965512	0	40.645494	ok	trimodal_candidate	BIC selected k=3; inspect both threshold candidates.	target_enriched	Target cells are enriched by raw TNR and thresholded positive rate.	; 
FADT0170	Tag-ALFA	gene	ADT	Adult_cHSPCs_Ultima_majority_voting		llm_marker_prior:no_vote	0.95	B;MKP;NK/T					FALSE		no_target_groups	13289	649	95.116262	4.883738	0.034438	0	0.174437	0	0	0	0	0	3.606443	0	0.288585	0	3835	0.791388	noise_3sd	1.527579	203	13086	0	13289	NA	NA	287.696223	NA	NA	38.402377	ok	rare_positive	Positive rate is below pass threshold.	no_target_detected_signal	No expected target groups, but thresholded ADT signal is detected.	; No expected_positive_groups available for TNR.
FADT0175	mAOC-CD340	gene	ADT	Adult_cHSPCs_Ultima_majority_voting		llm_marker_prior:no_vote	0.9	MKP;Monocyte;NK/T	CLP;HSC_MPP;MKP	MKP			FALSE		no_target_groups	13289	282	97.877944	2.122056	0.009197	0	0.067561	0	0	0	0	0	1.25315	0	0.080743	0	1073	0.738965	noise_3sd	0.1505	20	13269	0	13289	NA	NA	49.144444	NA	NA	14.261293	ok	rare_positive	Positive rate is below pass threshold.	no_target_detected_signal	No expected target groups, but thresholded ADT signal is detected.	; No expected_positive_groups available for TNR.
FADT0180	mAOC-CD86	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	B;Monocyte	llm_marker_prior	0.85	CLP;Monocyte;NK/T	B;CLP;Monocyte	CLP;Monocyte	Monocyte	B;Monocyte	FALSE		ok	13289	1252	90.578674	9.421326	0.103907	0	0.397853	0	0	0	0	0.772743	3.718596	0.772743	0.713823	0	9486	0.880918	noise_3sd	4.349462	578	12711	847	12442	27.98111	2.740717	134.62272	10.444801	56.316411	41.848515	ok	rare_positive	Positive rate is below pass threshold.	rare_target_enriched	Low global positive rate but target cells are enriched.	; 
FADT0186	mAOC-CD223	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	NK/T	local_marker_prior	0.95	CLP;Monocyte;NK/T	GMP-L;HSC_MPP;MKP		NK/T		TRUE	No observed validation-high group overlaps expected prior groups.	ok	13289	1128	91.511777	8.488223	0.060723	0	0.219899	0	0	0	0	0.568146	2.864164	0.568146	0.310934	0	4132	0.735044	noise_3sd	2.994958	398	12891	116	13173	2.586207	2.998558	81.608164	1.447338	80.172414	27.232574	ok	rare_positive	Positive rate is below pass threshold.	distribution_detected_but_off_target	A thresholded ADT-positive population exists, but it is not enriched in the expected target groups.	; 
mAOC0297	mAOC-CD100	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	B;NK/T	local_marker_prior	0.95	ERYP;MEBEMP-L;MKP	CLP;GMP-L;Monocyte				TRUE	No observed ADT-high group overlaps expected prior groups.	ok	13289	7879	40.710362	59.289638	0.633531	0.607346	0.635027	0	0	0	1.052984	1.798317	3.033064	1.798317	1.772218	1	23551	0.869883	noise_3sd	36.917752	4906	8383	768	12521	1.5625	39.086335	7.969525	0.150207	91.796875	27.448352	ok	trimodal_candidate	BIC selected k=3; inspect both threshold candidates.	distribution_detected_but_off_target	A thresholded ADT-positive population exists, but it is not enriched in the expected target groups.	; 
mAOC0301	mAOC-CD16	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	Monocyte;NK/T	local_marker_prior	0.95	MKP;Monocyte;NK/T	MEBEMP-L;Monocyte;NK/T	Monocyte;NK/T	Monocyte;NK/T	Monocyte;NK/T	FALSE		ok	13289	122	99.081947	0.918053	0.003473	0	0.045899	0	0	0	0	0	1.794984	0	0.038152	0	507	0.687955	noise_3sd	0.0903	12	13277	311	12978	3.536977	0.007705	126.447619	10.253048	90.996785	31.452249	ok	rare_positive	Positive rate is below pass threshold.	rare_target_enriched_low_count	Very few positive cells, but positives are target-enriched; treat as biologically plausible but unstable.	; 
mAOC0303	mAOC-CD56	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	NK/T	local_marker_prior	0.95	MKP;Monocyte;NK/T	CLP;Monocyte;NK/T	Monocyte;NK/T	NK/T	NK/T	FALSE		ok	13289	133	98.999172	1.000828	0.003536	0	0.049055	0	0	0	0	0	4.003043	0	0.058244	0	774	NA		NA	NA	NA	116	13173	NA	NA	NA	1.939927	89.655172	NA	unimodal_like	unimodal_like	BIC did not support k >= 2.	target_raw_enriched_no_threshold	Target raw UMI is enriched, but no usable threshold was selected.	BIC did not support k >= 2.; 
mAOC0305	mAOC-CD8a	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	NK/T	local_marker_prior	0.95	B;GMP-L;NK/T	GMP-L;HSC_MPP;NK/T	GMP-L;NK/T	NK/T	NK/T	FALSE		ok	13289	484	96.35789	3.64211	0.024451	0	0.19353	0	0	0	0	0	5.637644	0	0.451275	0	5997	0.880624	noise_3sd	0.428926	57	13232	116	13173	20.689655	0.250512	916.494702	408.295125	59.482759	80.405293	ok	rare_positive	Positive rate is below pass threshold.	rare_target_enriched	Low global positive rate but target cells are enriched.	; 
